 Stranger	 अजनबी
 Blind	 अनघोर
 Anuhariya	 अनुहरिया
 Half line	 अर्ध रेखा
 Subdural salivary gland	 अवऊर्ध्वहनुज लार ग्रंथि
 Invited	 आमन्त्रित
 Beginning time	 आरंभ-काल
 Alimentary canal	 आहारनाल
 Ibrahim Adil Shah	 इब्राहिम आदिल शाह
 Volunteering	 ऐच्छिक अवसर ग्रहण
 Kazaa	 कज़ा﻿
 Caja	 क़ज़ा
 Cork sight	 काग दृष्टि
 Card sheet	 कार्ड शीट
 Black brittle	 काला भंगरा
 Kinetic energy	 किनेटिक ऊर्जा
 Insect eaters	 कीट भक्षी
 Kinetic energy	 कीनेटिक ऊर्जा
 Aquaculture	 कृच्छश्वसन
 Hair shaving	 केश मुंडन
 Ammeter	 कोणमापक
 Gangadhar Tilak	 गंगाधर तिलक
 Pregnancy team	 गर्भ दल
 Guru Granth Sahib	 गुरु ग्रंथ साहिब
 Gautemala country	 गौटेमाला देश
 Guatemala Republic	 ग्वाटेमाला गणतन्त्र
 Chandalini	 चंडालिनी
 Chanak Dal	 चणक दाल
 Chandalini	 चण्डालिनी
 Chaote	 चायोटे
 Chick-Chick	 चिक-चिक
 Greasy	 चिकचिक
 Mind	 चित्त
 Bangle	 चूड़ा
 Corrosion resistant steel	 जंगरोधी स्टील
 Wild flowers	 जंगली फूल
 Tremendous fight	 ज़बर्दस्त झगड़ा
 Caste enmity	 जाति शत्रुता
 Tonic	 टानिक
 Tempu	 टेंपु
 Whereabouts	 ठाँ-ठिकाना
 Box sown	 डब्बा बोया
 Fire engine	 दमकल
 Religious law	 धार्मिक विधि
 Fresher	 नवसूतिका
 Sleeplessness	 निद्राभंग
 Quinquette character	 पंचखंडी पात्र
 Periodic table	 पीरीआडिक टेबल
 Belly worship	 पेट पूजा
 Belly worship	 पेट-पूजा
 Petarthu	 पेटार्थू
 Display cell	 प्रदर्शन-कोष्ठ
 Pharmacology	 फार्माकॉलॉजी
 French fries	 फ्रेंच फ्राइज
 the farewell	 बिदाई
 To beg	 बेगाना
 Brune Ringit	 ब्रूने रिन्गिट
 Brunei Ringgit	 ब्रूनेई रिन्गिट
 Interview	 भेंटवार्ता
 Monthly salary	 मासिक तनख्वाह
 Master key	 मास्टर-चाबी
 Masterchab	 मास्टरचाबी
 Silent movie	 मूक चलचित्र
 Mousyout brother	 मौसियाउत भाई
 Fingerboard	 रङ्गफलक
 Ribosome	 राइबोजोम
 Ribosome	 राईबोसोम
 King Il	 राजा इल
 Raja Bharthari	 राजा भरथरी
 night	 रात
 Ramdham	 रामधाम
 Luxembourg	 लक्ज़मबर्ग
 Red sea	 लाल समुद्र
 Purulent disease	 विरेचन रोग
 Washington	 वॉशिंग्टन
 Sri Lankan	 श्रीलंकावासी
 Sadhuvaine	 सधुवाइन
 Tombstone	 समाधि स्थली
 Cemetery	 समाधि-स्थली
 Susur	 सुऔसर
 Golden opportunity	 सुनहरा मौक़ा
 Solar fiber	 सौर संवत्सर
 Solar ventilator	 सौर-संवत्सर
 Structural formula	 स्ट्रक्चरल फार्मूला
 Column writer	 स्तंभ लेखक
 Columnist	 स्तंभकार
 Constant price	 स्थायी भाव
 Hazrat Ali Ibne Abi Talib	 हज़रत अली इब्ने अबी तालिब
 Hispanic american	 हिस्पैनिक अमेरिकन
 Heresy monkey	 ह्रीसस बंदर
1	1
10	10
100	100
1000	1000
10000	10000
100000	100000
1000000	1000000
10000000	10000000
100000000	100000000
1000000000	1000000000
100000000000	100000000000
1000000000000	1000000000000
10000000000000	10000000000000
1000000000000000	1000000000000000
100000000000000000	100000000000000000
100th	100वाँ
100th year	100वाँ वर्ष
100th year	100वाँ साल
100th	100वां
100th year	100वां वर्ष
100th year	100वां साल
10th	10वाँ
10th	10वीं
11	11
11th	11वाँ
11th	11वीं
12	12
12th	12वाँ
12th	12वीं
13	13
13th	13वाँ
13th	13वीं
14	14
14th	14वाँ
14th	14वीं
15	15
150	150
15th	15वाँ
15th	15वीं
16	16
16th	16वाँ
16th	16वीं
17	17
17th	17वाँ
17th	17वीं
18	18
18th	18वाँ
18th	18वीं
19	19
19879 - St. Keats and Nevis Country	19879 - सेंट कीट्स और नीविस देश
19th	19वाँ
19th	19वीं
1 la	1ला
1 li	1ली
2	2
20	20
20th	20वाँ
20th year	20वाँ वर्ष
20th year	20वाँ साल
20th	20वां
20th year	20वां वर्ष
20th year	20वां साल
20th	20वीं
21	21
21st	21वाँ
21st	21वीं
22	22
22nd	22वाँ
22nd year	22वाँ वर्ष
22nd year	22वाँ साल
22nd	22वां
22nd year	22वां वर्ष
22nd year	22वां साल
23	23
23rd	23वाँ
23rd year	23वाँ वर्ष
23rd year	23वाँ साल
23rd	23वां
23rd year	23वां वर्ष
23rd year	23वां साल
23rd	23वीं
24	24
24th	24वाँ
24th year	24वाँ वर्ष
24th year	24वाँ साल
24th	24वां
24th year	24वां वर्ष
24th year	24वां साल
24th	24वीं
25	25
25374 - Vadodara	25374 - वडोदरा
25th	25वाँ
25th year	25वाँ वर्ष
25th year	25वाँ साल
25th	25वां
25th year	25वां वर्ष
25th year	25वां साल
25th	25वीं
26	26
26th	26वाँ
26th	26वीं
27	27
27th	27वाँ
27th	27वीं
28	28
28th	28वाँ
28th	28वीं
29	29
29th	29वाँ
29th	29वीं
2nd	2रा
2nd	2री
3	3
30	30
30th	30वाँ
30th year	30वाँ वर्ष
30th year	30वाँ साल
30th	30वां
30th year	30वां वर्ष
30th year	30वां साल
30th	30वीं
31	31
31st	31वाँ
31st	31वीं
32	32
33	33
34	34
35	35
35th	35वाँ
35th year	35वाँ वर्ष
35th year	35वाँ साल
35th	35वां
35th year	35वां वर्ष
35th year	35वां साल
36	36
37	37
38	38
39	39
3rd	3रा
3rd	3री
4	4
40	40
40th	40वाँ
40th year	40वाँ वर्ष
40th year	40वाँ साल
40th	40वां
40th year	40वां वर्ष
40th year	40वां साल
41	41
42	42
43	43
44	44
45	45
46	46
47	47
48	48
49	49
4th	4था
4th	4थी
5	5
50	50
5000000	5000000
50th	50वाँ
50th year	50वाँ वर्ष
50th year	50वाँ साल
50th	50वां
50th year	50वां वर्ष
50th year	50वां साल
51	51
52	52
53	53
54	54
55	55
56	56
57	57
58	58
59	59
5th	5वाँ
5th	5वीं
6	6
60	60
60th	60वाँ
60th year	60वाँ वर्ष
60th year	60वाँ साल
60th	60वां
60th year	60वां वर्ष
60th year	60वां साल
61	61
62	62
63	63
64	64
65	65
65th	65वाँ
65th year	65वाँ वर्ष
65th year	65वाँ साल
65th	65वां
65th year	65वां वर्ष
65th year	65वां साल
66	66
67	67
68	68
69	69
6th	6वाँ
6th	6वीं
7	7
70	70
70th	70वाँ
70th year	70वाँ वर्ष
70th year	70वाँ साल
70th	70वां
70th year	70वां वर्ष
70th year	70वां साल
71	71
72	72
73	73
74	74
75	75
75th	75वाँ
75th year	75वाँ वर्ष
