 எழால்	 எழால்
 கந்துவம்.	 கந்துவம்.
 Siriyagiri	 சிறியகிரி
 Johnny	 ஜன்னி
 Companion	 துணைவன்
 Maniton	 மானிடன்
 Outrage	 மூர்க்கம்
 வசை	 வசை
 Commentary	 வருணனை
 Longing	 வாஞ்சை
(A currency of England) Shilling	(இங்கிலாந்து நாட்டின் ஒரு நாணயம் )சிலிங்க்
Seal (of the door)	(கதவின்) சீல்
(Character	(குணம்
(In the middle	(நடுவில்
(Making clay) kiln	(மண்பானை செய்யும்) சூளை
00	00
000 human years	000 மனித ஆண்டுகள்
1 12 Add size	1 12 சேர் அளவு
1 14	1 14
1 loaf	1 கழஞ்சு
10000	10000
1000000	1000000
100000000	100000000
100000000000	100000000000
1000000000000	1000000000000
1000000000000000	1000000000000000
100000000000000000	100000000000000000
12 door	12 வாசல்
22	22
2700 square meters of land	2700 சதுர மீட்டர் நிலம்
31	31
32	32
33	33
34	34
35	35
36	36
37	37
38	38
39	39
4	4
4 layer shield	4 அடுக்கு கவசம்
41	41
42	42
43	43
432	432
44	44
47	47
48	48
49	49
5th	5 ஆவது
5 Varagan	5 வராகன்
50 paise	50 பைசா
5000000	5000000
51	51
52	52
53	53
54	54
55	55
56	56
560 square feet	560 சதுர அடி
59	59
6 actions	6 செயல்கள்
61	61
62	62
62 cents	62 செண்டு
63	63
64	64
65	65
66	66
67	67
69	69
7th	7 ஆவது
72	72
73	73
74	74
75	75
77	77
79	79
8 days	8 நாட்கள்
8 miles away	8 மைல் தொலைவு
81	81
82	82
83	83
84	84
85	85
87	87
89	89
9 Type	9 வகை
91	91
92	92
93	93
94	94
95	95
97	97
99	99
????????? grasses	?????????புற்கள்
Asparagus officinales	Asparagus officinales
[supernumerary	[supernumerary
[the emergence or advent of an emotion] ?????????	[the emergence or advent of  an emotion]?????????
absract noun	absract noun
an aspirate	an aspirate
arrow root	arrow root
asparagus	asparagus
belly	belly
by - election	by - election
castern	castern
edible asparagus	edible asparagus
extra]	extra]
factors	factors
impossibility]	impossibility]
infusion of life	infusion of life
proclamation	proclamation
spear carrier	spear carrier
syllabus	syllabus
tapioca manihotesculenta	tapioca manihotesculenta
umaspirated	umaspirated
wingnut	wingnut
Fabta	ஃபாப்தா
Fenmake	ஃபென்மேக்
Frame	ஃப்ரேம்
The letter a	அ எழுத்து
Form A	அ வடிவம்
A class	அ வர்க்கம்
அகக்கண்	அகக்கண்
Arrogant woman	அகங்காரமுள்ள பெண்
Arrogance	அகங்காரம்
A person without arrogance	அகங்காரம் இல்லாத நபர்
அகஞ்சுரக்குஞ்தொகுதி	அகஞ்சுரக்குஞ்தொகுதி
அகஞ்சுரக்கும்தொகுதி	அகஞ்சுரக்கும்தொகுதி
அகடு	அகடு
அகடூரிக்குஞ்சு	அகடூரிக்குஞ்சு
Agat - Bhagat	அகட் - பகட்
அகண்டவாய்கூடை	அகண்டவாய்கூடை
Internal	அகதந்திரம்
Refugee	அகதி
Agathiyar	அகத்தியர்
அகத்தியாகினம்	அகத்தியாகினம்
Internal guard	அகநகர் காவலாளி
Arrogance	அகந்தை
Without arrogance	அகந்தையில்லாமல்
Arrogant woman	அகந்தையுள்ள பெண்
Agan	அகன்
Spacious room	அகன்ற அறை
அகப்பை	அகப்பை
அகப்பைக்கணை	அகப்பைக்கணை
அகப்பைக்காம்பு	அகப்பைக்காம்பு
Internal	அகமுழவு
Internal	அகம்
அகம்படியார்	அகம்படியார்
அகம்பன்	அகம்பன்
அகம்பாவம்	அகம்பாவம்
Alphabet	அகரம்
Dictionary	அகராதி
Dictionary creator	அகராதி உருவாக்கிபவர்
Dictionary	அகராதியாளர்
Dictionary	அகராதியியலாளர்
Agar	அகர்
Agartala	அகர்தலா
அகர்பத்தி	அகர்பத்தி
Widening	அகலப்படுத்துதல்
Wide path	அகலப்பாதை
Spacious room	அகலமான அறை
Wide character	அகலமான பாத்திரம்
Width	அகலம்
அகல்	அகல்
Agalya	அகல்யா
Farther	அகல்விளக்கு
Archaeologist	அகழாராய்ச்சிநிபுணர்
Trench	அகழி
Excavation	அகழ்
Excavator	அகழ் இயந்திரம்
Information	அகவல்
Intuition	அகவுணர்வு
அகவுயிர்	அகவுயிர்
அகவை	அகவை
Augustine	அகஸ்திய
Agastya Gita	அகஸ்தியகீதா
அகஸ்தியக்கூட்	அகஸ்தியக்கூட்
Acacia	அகாசி
Akasuran	அகாசூரன்
Academy	அகாடமி
Agoda	அகாடா
அகாரி	அகாரி
Premature death	அகால மரணம்
Agaswa	அகாஸ்வா
அகிக்குஞ்சு	அகிக்குஞ்சு
Nonviolence	அகிம்சை
Akia	அகியா
Akiravan	அகிராவன்
Agiri	அகிரி
International	அகிலம்
Ake	அகே
Akeran	அகேரன்
Agoran Temple	அகோரன் கோயில்
Agoran statue	அகோரன் சிலை
Agora	அகோரா
Agori	அகோரி
Agori monk	அகோரி சந்நியாசி
Agohi	அகோஹி
here and there	அக்கம் பக்கம்
Neighborhood	அக்கம்பக்கத்தார்
Concern	அக்கரை
Wage for joining Akkarai	அக்கரை சேருவதற்கான கூலி
Care	அக்கறை
Indifference	அக்கறையின்மை
அக்கல்பார்	அக்கல்பார்
Sister	அக்கா
Accar	அக்கார்
அக்காள்	அக்காள்
அக்கி	அக்கி
Acytoma	அக்கிட்டோமம்
Achilles tendon	அக்கிட்டோமம் வளர்ப்பவன்
அக்கினி அக்கினிசாந்தி	அக்கினி அக்கினிசாந்தி
அக்கினிகுண்டம்	அக்கினிகுண்டம்
அக்கினிசாந்தி	அக்கினிசாந்தி
Firefighter	அக்கினிசாந்தி செய்பவன்
Akkinitoma Hall	அக்கினிட்டோம மண்டபம்
அக்கியாதமின்மை	அக்கியாதமின்மை
Armpit	அக்குள்
Aksouhini	அக்சௌஹினி
October	அக்டோபர்
Akhtawar	அக்தாவர்
Agni	அக்னி
Agni Temple	அக்னி ஆலயம்
Agni Omam	அக்னி ஓமம்
Agni Temple	அக்னி கோவில்
Agni exam	அக்னி பரிட்சை
Agni Yagya	அக்னி யாகம்
Agni Velvi	அக்னி வேள்வி
Agni Homam	அக்னி ஹோமம்
Agnikundam	அக்னிகுண்டம்
Agnikoil	அக்னிகோயில்
Agnishanti	அக்னிசாந்தி
Agnithoma	அக்னிட்டோமம்
Agniparitsai	அக்னிபரிட்சை
Agnipanam	அக்னிபானம்
The entrance to the fire	அக்னிபிரவேசம்
Agni Purana	அக்னிபுராணம்
அக்னிமனைவி	அக்னிமனைவி
Weapon of fire	அக்னியை உமிழும் ஆயுதம்
Fire extinguisher	அக்னியை உமிழும் கருவி
Cleansing the fire	அக்னியை சுத்தப்படுத்தல்
Purification of fire	அக்னியை சுத்திகரித்தல்
Purification of fire	அக்னியைத் தூய்மைப்படுத்தல்
History of Agnivalam	அக்னிவலம் வரல்
Agnihotri	அக்னிஹோத்ரி
Akbari	அக்பரி
Akbar	அக்பர்
Akbarnama	அக்பர்நாமா
Agraja	அக்ரஜா
Agrur	அக்ரூர்
Walnut	அக்ரோட்
Walnuts	அக்ரோட்டுக் பருப்பு
Aquador	அக்வாடேர்
Aquatorian	அக்வாடோரியன்
Akshaykumar	அக்ஷய்குமார்
Akshaywat	அக்ஷய்வட்
Aksharanyas	அக்ஷரன்யாஸ்
Akshaya Thiruthai	அக்ஷ்ய திருதயை
Akshay Navami	அக்ஷ்ய நவமி
அக்ஷ்ரபங்கி	அக்ஷ்ரபங்கி
Organization	அங்கஅமைப்பு
Angainam	அங்கஈனம்
Tube in organs	அங்கங்களிலுள்ள குழாய்
அங்கசன்	அங்கசன்
அங்கசேட்டை	அங்கசேட்டை
Organ damage	அங்கசேதம்
Organ God	அங்கத தேவன்
அங்கதக்குஞ்சு	அங்கதக்குஞ்சு
அங்கதன்	அங்கதன்
அங்கதம்	அங்கதம்
Deletion	அங்கத்தைநீக்கல்
Anganyas	அங்கன்யாஸ்
Element	அங்கம்
Element.	அங்கம்.
Angarajan	அங்கராஜன்
அங்கலாய்ப்பு	அங்கலாய்ப்பு
அங்கவடி	அங்கவடி
Store	அங்காடி
அங்காரம்	அங்காரம்
அங்கி	அங்கி
அங்கிசம்	அங்கிசம்
Angira	அங்கிரா
Recognition	அங்கீகாரம்
அங்குசம்	அங்குசம்
Inches	அங்குலம்
Inch	அங்குலிகம்
Over there	அங்குள்
Angustanam	அங்குஸ்தானம்
Angoda	அங்கோடா
Angola	அங்கோலா
Angolan	அங்கோலாவாசி
Uncomfortable condition	அசக்கிய நிலை
அசடு	அசடு
அசட்டி	அசட்டி
Assassin	அசட்டி செய்பவன்
Awkwardness	அசட்டுத்தனம்
அசட்டுத்துணிச்சல்	அசட்டுத்துணிச்சல்
Ignore	அசட்டை
Asamata Hall	அசமட மண்டபம்
அசமடம்	அசமடம்
அசமடம் வளார்ப்பவன்	அசமடம் வளார்ப்பவன்
Inconsistency	அசமதாகம்
The ascetic	அசமதாகம் செய்பவன்
அசம்	அசம்
Unfortunate	அசம்பாவிதம்
அசரீரி	அசரீரி
அசறு	அசறு
Asala	அசலா
Unusual	அசாதாரணம்
Assamese	அசாமியன்
Language of Assam	அசாம் மொழி
அசி	அசி
Asik	அசிக்
Ugly woman	அசிங்கமானபெண்
Pollution	அசுத்தம்
Monster	அசுரன்
Monsters	அசுரப்பெண்கள்
Asuravatham	அசுரவதம்
Achuva cart	அசுவ வண்டி
அசுவத்தாமா	அசுவத்தாமா
Ashwamedha Agnishanti	அசுவமேத அக்னிசாந்தி
அசுவம்	அசுவம்
Aphid	அசுவினி
Aphid star	அசுவினி நட்சத்திரம்
அசுவினிமுகம்	அசுவினிமுகம்
Jealousy	அசூயை
அசூர்மச்த்	அசூர்மச்த்
Stir	அசை
Stirring animal	அசை போடும் விலங்கு
Shaking	அசைதல்
அசைபோடல்	அசைபோடல்
Non-vegetarian food	அசைவஉணவு
Immobility	அசைவற்றதன்மை
Immobility	அசைவற்றத்தன்மை
Asoka tree	அசோக மரம்
Ashokavanam	அசோகவனம்
Assam	அசோம்
அச்சஒலி	அச்சஒலி
Press	அச்சகம்
Printing	அச்சடிக்கும்பணி
Printing work	அச்சடிக்கும்வேலை
Printing	அச்சடித்தல்
Printer	அச்சடிப்பவர்
Fearlessness	அச்சமின்மை
Fear	அச்சம்
அச்சாரத்தொகை	அச்சாரத்தொகை
Etiquette	அச்சாரம்
Printed fabric	அச்சிடப்பட்ட துணி
Printed fabric	அச்சிட்ட துணி
Print	அச்சு
Printing machine	அச்சு இயந்திரம்
Printer	அச்சுக்கருவி
Typography	அச்சுக்கூலி
Printer	அச்சுப்பொறி
Threat	அச்சுறுத்தல்
According to the print	அச்சுவார்படி
Ashwani (a legion)	அச்வானி (ஒரு லேகியம்)
Ajathandi	அஜதந்தி
Azerbaijan	அஜர்பேஜான்
Azerbaijan Manat	அஜர்பைஜான் மனட்
The language of Azerbaijan	அஜர்பைஜான் மொழி
Read Azerbaijan	அஜர்பைஜான் வாசி
Ignorance	அஜாக்கிரதை
Ignorance	அஜாக்கிரத்தை
அஜாதசத்ரு	அஜாதசத்ரு
Ajat Chatru	அஜாத் சத்ரு
In Ajam	அஜாமில்
Azambika	அஜாம்பிகா
Ajitnath	அஜித்னாத்
Aziza	அஜீஜா
Indigestion	அஜீரணம்
Aj	அஜ்
Ajkalika	அஜ்காலிகா
Ajmer	அஜ்மேர்
