(Ashwattha tree) ripe fruit	(অশ্বত্থ গাছের) পাকা ফল
(Of fire) sparks	(আগুনের)ফুলকি
(Mango) jam	(আমের)মোরব্বা
(Kulfir) Chong	(কুলফির) চোঙ
(Water) drop	(জলের)ফোঁটা
(Kept for birds) water containers	(পাখীদের জন্য রাখা) জলপাত্র
(Drawn by ox) Plow	(বলদ দিয়ে টানা)লাঙল
(Female) laborer	(মহিলা)মজুর
.Kiss recipient	.চুম্বন গ্রহণকারী
1	1
10	10
10000	10000
1000000	1000000
100000000	100000000
1000000000000	1000000000000
10000000000000	10000000000000
1000000000000000	1000000000000000
11	11
12	12
13	13
14	14
15	15
16	16
17	17
18	18
19	19
1ooooooooooo	1ooooooooooo
2	2
20	20
21	21
22	22
23	23
24	24
25	25
26	26
27	27
28	28
29	29
3	3
30	30
31	31
32	32
33	33
34	34
35	35
36	36
37	37
38	38
39	39
4	4
40	40
41	41
42	42
43	43
44	44
46	46
47	47
5	5
50	50
5000000	5000000
51	51
52	52
53	53
54	54
55	55
56	56
57	57
58	58
59	59
6	6
61	61
62	62
63	63
65	65
66	66
67	67
68	68
69	69
7	7
71	71
72	72
73	73
74	74
75	75
76	76
77	77
78	78
79	79
8	8
81	81
82	82
83	83
84	84
85	85
86	86
87	87
88	88
89	89
9	9
91	91
92	92
93	93
94	94
95	95
96	96
97	97
99	99
A	A
The letter A.	A অক্ষর
S	S
The letter S	S অক্ষর
a	a
a letter	a অক্ষর
s	s
The letter s	s অক্ষর
Oh	ঁ
E	ং
No.	অ
Non car	অ কার
Math	অংক
Ankara	অংকারা
Ring	অংটী
Part	অংশ
Part distribution	অংশ বণ্টন
Partition	অংশ বিভাজন
Participation	অংশগ্রহণ
Participants	অংশগ্রহণকারী
Contribution	অংশদান
Stakeholders	অংশধারী
Partnership	অংশিদারী
Partner	অংশীদার
Partnership	অংশীদারি
Partnership	অংশীদারী
Anshu	অংশু
Partial	অংশুক
Anshumanta	অংশুমন্ত
Anshuman	অংশুমান
Frankly	অকপট
Vibration	অকম্পন
Akarkara	অকরকরা
Intransitive verb	অকর্মক ক্রিয়া
Useless person	অকর্মণ্য ব্যাক্তি
Inefficiency	অকর্মণ্যতা
Akarma	অকর্মা
Auckland	অকল্যান্ড
Useless action	অকাম কর্ম
Unreasonable fear	অকারণের ভীতি
Invalid	অকার্য
Premature	অকাল
Premature death	অকাল মৃত্যু
Premature	অকালজাত
Premature	অকালি
Premature Sikh	অকালি সিখ
Infamy	অকীর্তি
Incompetence	অকুটিলতা
Akulin	অকুলিন
Akulin person	অকুলিন ব্যক্তি
Unskilled	অকুশল
Skilled playwright	অকুশল নাট্যশিল্পী
Incompetence	অকুশলতা
Gratitude	অকৃতজ্ঞতা
Invalid	অকৃত্য
Integrity	অকৃত্রিমতা
Ungrateful	অকৃপা
Akola	অকোলা
Akola district	অকোলা জেলা
The city of Akola	অকোলা শহর
Akkalkot	অক্কলকোট
Octopus	অক্টোপাস
October	অক্টোবর
October	অক্টোবর মাস
Akmola	অক্মোলা
Anger	অক্রোধ
Axis	অক্ষ
Axis line	অক্ষ রেখা
Intact	অক্ষত
Intact rice	অক্ষত চাল
Axis bar	অক্ষদণ্ড
Imperfect	অক্ষধুর
Disability	অক্ষমতা
Disability	অক্ষমালা
Disabled owner	অক্ষমালিক
Akshamalik Upanishad	অক্ষমালিক উপনিষদ
Akshamalikopanishad	অক্ষমালিকোপনিষদ
Characters	অক্ষর
Characters a	অক্ষর অ
The letter A.	অক্ষর আ
Character garland	অক্ষর মালা
Character Connector	অক্ষর সংযোজক
Letter-layout	অক্ষর-বিন্যাস
The alphabet	অক্ষরজীবি
Alphabetical	অক্ষরন্যাস
Alphabetical	অক্ষরপঙ্কতি
Alphabets	অক্ষরমালা
Latitude	অক্ষাংশ
Latitude line	অক্ষাংশ রেখা
Axis	অক্ষাগ্র
Eye	অক্ষি
Akshi Upanishad	অক্ষি উপনিষদ
Eyeball	অক্ষি পটল
Axis	অক্ষিকোণ
Akshitara	অক্ষিতারা
Axillary	অক্ষিপক্ষ
Eye-catching	অক্ষুমুখ
Akshov	অক্ষোভ
Akshauhini	অক্ষৌহিণী
Akshay-III	অক্ষয়-তৃতীয়া
Akshay Kumar	অক্ষয়কুমার
Akshay Tritiya	অক্ষয়তৃতীয়া
Akshayanabami	অক্ষয়নবমী
Akshaybot	অক্ষয়বট
Oxford	অক্সফর্ড
Oxford	অক্সফোর্ড
Oxide	অক্সাইড
Oxygen	অক্সিজেন
Oxygen atoms	অক্সিজেন পরমাণু
Integrity	অখন্ডতা
Akhat	অখাত
Inedible substance	অখাদ্য পদার্থ
Inedible	অখাদ্য বস্তু
Akhani	অখানি
The whole world	অখিল বিশ্ব
All India Football Association	অখিল ভারতীয় ফুটবল সংঘ
Akhaini	অখৈনি
Akhtar	অখ্তাবর
Infamy	অখ্যাতি
Agar Bagar	অগড় বগড়
Agati	অগতি
Agadatantra	অগদতন্ত্র
Agan	অগন
Inaccessibility	অগম্যতা
Agru	অগরু
Agastya	অগস্ত্য
Agastyakoot	অগস্ত্যকূট
Agastya Gita	অগস্ত্যগীতা
Agabe	অগাবে
Agabe tree	অগাবে গাছ
Fire	অগিন
Agia	অগিয়া
Agiosan	অগিয়াসন
Disgraceful condition	অগৌরবজনক অবস্থা
Agnayi	অগ্নায়ী
Fire	অগ্নি
Angle of fire	অগ্নি কোণ
Fiery tongue	অগ্নি জিহ্বা
Fire test	অগ্নি পরীক্ষা
Agni Purana	অগ্নি পুরাণ
Temple of Fire	অগ্নি মন্দির
Agni-kund	অগ্নি-কুণ্ড
Fire-test	অগ্নি-পরীক্ষা
Fireworks	অগ্নিকর্ম
Fire	অগ্নিকাণ্ড
Agnikarya	অগ্নিকার্য
Fireplace	অগ্নিকুণ্ড
Fireworks	অগ্নিক্রিয়া
Agnidev	অগ্নিদেব
Fire extinguisher	অগ্নিনাশক-যন্ত্র
Firefighters	অগ্নিনির্বপক দল
Fire extinguisher	অগ্নিনির্বাপক-যন্ত্র
Ordeal	অগ্নিপরীক্ষা
Fiery	অগ্নিপাবক
Agnipabaka sage	অগ্নিপাবক ঋষি
Agnipurana	অগ্নিপুরাণ
Fire worshipers	অগ্নিপূজক
Fiery	অগ্নিবর্ণ
Firearms	অগ্নিবাণ
Indigestion	অগ্নিমান্দ্য
Fire face	অগ্নিমুখ
Flame of fire	অগ্নিশিখা
Agnistom	অগ্নিষ্টোম
Agnistom Yajna	অগ্নিষ্টোম যজ্ঞ
Cremation	অগ্নিসংস্কার
Eruption	অগ্নুত্পাত
Pancreas	অগ্ন্যাশয়
Unripe flowers	অগ্যস্ত ফুল
Front part	অগ্র ভাগ
Progress	অগ্রগতি
Aroma	অগ্রগন্ধা
Pioneer	অগ্রগামী
Elder	অগ্রজ
Elder	অগ্রজা
Pioneer	অগ্রণী
Pioneer	অগ্রদূত
Nozzle	অগ্রভাগ
Agrasen	অগ্রসেন
Forward	অগ্রহস্ত
Agra	অগ্রা
Aggression	অগ্রাশন
Agrayudha	অগ্রায়ুধ
Advance money	অগ্রিম অর্থ
Advance remuneration	অগ্রিম পারিশ্রমিক
Advance copy	অগ্রিম প্রতিলিপি
Lead	অগ্রু
Message forwarder	অগ্রে সন্দেশ বাহক
Aghmarshan	অঘমর্ষণ
Aghamrshana sage	অঘমর্ষণ ঋষি
Aghasur	অঘাসুর
Awful	অঘোর
Awful sage	অঘোর ঋষি
Aghorpantha	অঘোরপন্থা
Extremist	অঘোরপন্থী
Awkward	অঘোরা
Aghori	অঘোরী
Scentless	অঘ্রাণী
Smell	অঘ্রায়ণ
Digits	অঙ্ক
Calculator	অঙ্কক
Drawing	অঙ্কদেশ
Drawing education	অঙ্কন শিক্ষা
In mathematics	অঙ্কশাস্ত্রে
Shoot	অঙ্কুর
Sprouted (gram)	অঙ্কুরিত (ছোলা)
Germination	অঙ্কুরোদ্গম
Germination point	অঙ্কুরোদ্গম বিন্দু
Ankush	অঙ্কুশ
Limbs	অঙ্গ
Limbs	অঙ্গ প্রতঙ্গ
Limb rubbing	অঙ্গ মর্দন
Rubbing limbs	অঙ্গ মলাই
Limb movement	অঙ্গ সঞ্চালন
Organs	অঙ্গ সমূহ
Limbs	অঙ্গ-প্রত্যঙ্গ
Gestures	অঙ্গ-ভঙ্গী
Mutilation	অঙ্গচ্ছেদ
Amputation	অঙ্গচ্ছেদক
Mutilation	অঙ্গচ্ছেদন
Limbs	অঙ্গজ
Angad	অঙ্গদ
I will give Angad	অঙ্গদ দেব
Courtyard	অঙ্গনা
Anganyas	অঙ্গন্যাস
Organic	অঙ্গবাচক
Morphological word	অঙ্গবাচক শব্দ
Limbs	অঙ্গবাচী
Deformity	অঙ্গবিকার
Deformity	অঙ্গবিকৃতি
Mutilation	অঙ্গভঙ্গ
Gestures	অঙ্গভঙ্গী
Assassination	অঙ্গমারী
Bodyguard	অঙ্গরক্ষক
Bodyguard	অঙ্গরক্ষী
State	অঙ্গরাজ্য
Angrom	অঙ্গরোম
Limblessness	অঙ্গহীনতা
Organic	অঙ্গাতক
Angatak Chaturthi	অঙ্গাতক চতুর্থী
Embers	অঙ্গার
Carbon	অঙ্গারক
Charcoal	অঙ্গারপর্ণ
Promise	অঙ্গিকার
Angiras	অঙ্গিরস
Angiras sage	অঙ্গিরস ঋষি
Angira	অঙ্গিরা
Angira is a sage	অঙ্গিরা ঋষি
Angiogram	অঙ্গিরাবৃত্ত
Angi	অঙ্গী
Commitment	অঙ্গীকরণ
Promise	অঙ্গীকার
Pledge	অঙ্গীকারপত্র
Pronouns	অঙ্গীবাচক শব্দ
Finger	অঙ্গুলী
Angolan	অঙ্গোলা বাসী
Immobility	অচপলতা
Immovable	অচল
Immovable property	অচল সম্পত্তি
Immobile	অচলকন্যা
Immobile	অচলা
Achala Ekadashi	অচলা একাদশী
Unthinking	অচিন্তন
Achirprabha	অচিরপ্রভা
Achirangshu	অচিরাংশু
Unconscious process	অচেতন প্রক্রিয়া
Unknown	অচেনা
Unknown place	অচেনা জায়গা
Unfamiliar feeling	অচেনা ভাব
Unconscious world	অচৈতন্য জগত
Infallibility	অচৌর্য
Unsightly	অচ্ছদ্ম
Indestructible	অচ্ছল
Untouchable	অচ্ছুত
Untouchable	অচ্ছুত্
Achutagraj	অচ্যুতাগ্রজ
Achbani	অছবানি
Trustee	অছি
There was	অছিলা
Oz	অজ
Ajkarna	অজকর্ণ
The stench	অজগন্ধা
Python	অজগর
Python	অজগরী
Ajdanti	অজদন্তী
Reproductive cells	অজনন কোষিকা
Ajanta	অজন্তা
Unborn	অজন্মা
Unnecessarily	অজন্য
Ajapati	অজপতি
Ajapa	অজপা
Ajpad	অজপাদ
Unborn	অজাত
Unborn enemy	অজাতশত্রু
Unintentional crime	অজান্তে করা অপরাধ
Ajamil	অজামিল
Ajamukh	অজামুখ
Ajasur	অজাসুর
Ajitnath	অজিতনাথ
Ajir	অজির
Indigestion	অজীর্ণ
Indigestion	অজীর্ণ রোগ
Ajuja	অজুজা
Ajut	অজুত
Excuse me	অজুহাত
Excuse me	অজুহাতবাজ
Inorganic process	অজৈব্য প্রক্রিয়া
Ignorance	অজ্ঞতা
Unknown youth	অজ্ঞাতযৌবনা
Ignorance	অজ্ঞান
Ignorance is darkness	অজ্ঞান অন্ধকার
Ignorance	অজ্ঞানতা
Agnostic	অজ্ঞাবাদী
Agnosticism	অজ্ঞেয়বাদ
Region	অঞ্চল
Anjan	অঞ্জন
Anjanhari	অঞ্জনহারি
Anjana	অঞ্জনা
Anjani	অঞ্জনী
Anjali	অঞ্জলি
Anja district	অঞ্জা জেলা
Anjabika	অঞ্জাবিকা
Otbi	অটবী
Atal Bihari	অটল বিহারী
Atal Bihari Vajpayee	অটল বিহারী বাজপেয়ী
Unwavering determination	অটল সংকল্প
Auto	অটো
Automated teller machine	অটোমেটেড টেলার মেশিন
Automobile	অটোমোবাইল
Automobile	অটোমোবিল
Laughter	অট্টহাসি
The building	অট্টালিকা
Arhar	অড়হর
Arahar dal	অড়হর ডাল
Arahar dal pills	অড়হর ডালের বড়ি
Adana	অডানা
Adana is angry	অডানা রাগ
Audio	অডিও
Anima	অণিমা
Molecules	অণু
Atomic light	অণুপ্রভা
Molecule	অণুভা
Testicles	অণ্ডকোষ
Ovary	অণ্ডগ্রন্থি
Ovulation	অণ্ডবৃদ্ধি
Andi	অণ্ডী
Abyss	অতল
Abyss	অতলস্পর্শীতা
Atasi	অতসী
Extreme deprivation	অতি অভাবগ্রস্ততা
Very high terms	অতি উচ্চ পদ
Very nice place	অতি সুন্দর স্থান
Giant	অতিকায়
The giant elephant	অতিকায় হাতি
Exaggerated	অতিকৃচ্ছ
Excessive vows	অতিকৃচ্ছ ব্রত
Beyond	অতিক্রম
Transcendence	অতিক্রমণ
Atrocities	অতিচার
Guest	অতিথি
Guest room	অতিথি কক্ষ
Guest service	অতিথি সেবা
Guest house	অতিথি-গৃহ
Guest-building	অতিথি-ভবন
Guest-house	অতিথি-শালা
Guest-reception	অতিথি-সত্কার
Guest house	অতিথিগৃহ
Guest	অতিথ্যকর্তা
Be hospitable	অতিথ্যকর্তা হওয়া
Atinav	অতিনাভ
Hypothyroidism	অতিপাণ্ডুকম্বলা
Excessive	অতিপাতক
Overflow	অতিপ্রবাহ
Favorite	অতিপ্রিয়
Heavy rain	অতিবর্ষণ
Extreme	অতিবীর
Ultraviolet rays	অতিবেগুণী রশ্মি
Overeating	অতিভোজী
Exaggeration	অতিরঞ্জন
Extra	অতিরিক্ত
Extra work	অতিরিক্ত কাজ
Extra players	অতিরিক্ত খেলোয়াড়
Additional Judge	অতিরিক্ত ন্যায়াধীশ
Extra time	অতিরিক্ত সময়
Very generous	অতিশয় দাতা
Exaggeration	অতিশয়োক্তি
The past	অতীত
The past tense	অতীত কাল
The past tense	অতীতকাল
Transcendental exclusion	অতীন্দ্রিয় বাদ
Mysticism	অতীন্দ্রিয়বাদ
Incomparable	অতুলনীয়
Dissatisfaction	অতুষ্টি
Dissatisfaction	অতৃপ্তি
Exaggeration	অতেশয়োক্তি
Exaggerated ornaments	অতেশয়োক্তি অলঙ্কার
The best-selling book	অত্যধিক বিক্রীত পুস্তক
Exaggeration	অত্যন্নোতি
Hyacinth	অত্যম্লপর্ণী
Torture	অত্যাচার
Oppressive	অত্যাচারী
Ecstasy	অত্যানন্দ
Exaggeration	অত্যুক্তি
High position	অত্যুচ্চ পদ
Atuh	অত্যুহ
Exaggeration	অত্যোক্তি
Atri	অত্রি
Atri river	অত্রি নদী
Atripriya	অত্রিপ্রিয়া
Atreya	অত্রেয়
Atreya plain	অত্রেয় সমভূমি
Atharva	অথর্ব
Atharva Veda	অথর্ব বেদ
Atharva-shir	অথর্ব-শির
Atharva-shir Upanishad	অথর্ব-শির উপনিষদ
Atharva-shiropanishad	অথর্ব-শিরোপনিষদ
Atharvani	অথর্বণি
Atharvan	অথর্বন
Or	অথর্বা
Athletics	অথ্যলেটিক্স
Inefficiency	অদক্ষতা
Adatta	অদত্তা
Advan	অদবান
Unnecessary things	অদরকারি জিনিস
Invisible	অদর্শন
Swap	অদল বদল
Swapping	অদল-বদল
Swap	অদলবদল
Aditi	অদিতি
Invisibility	অদৃশতা
Invisible	অদৃশ্য
Invisibility	অদৃশ্যতা
Destinyism	অদৃষ্টবাদ
Destinyist	অদৃষ্টবাদী
Unpaid debt	অদেয় ঋণ
Monotheism	অদ্বৈতবাদ
Advaitaraka	অদ্বয়তারক
Advayataraka Upanishad	অদ্বয়তারক উপনিষদ
Advayatarkopanishad	অদ্বয়তারকোপনিষদ
Strange	অদ্ভুত
Strange work	অদ্ভুত কাজ
Strange juice	অদ্ভুত রস
Strangely beautiful place	অদ্ভুত সুন্দর স্থান
Strange place	অদ্ভুত স্থান
Strange-juice	অদ্ভুত-রস
Oddly enough	অদ্ভুতুরে
Today	অদ্য
Adri	অদ্রি
Adri's daughter	অদ্রি তনয়া
Adri-tanaya	অদ্রি-তনয়া
Adrika	অদ্রিকা
Rebellion	অদ্রোহ
Precipitation	অধঃক্ষেপ
Decline	অধঃপতন
Decline	অধঃপাত
Ugly	অধম
Wretched man	অধম পুরুষ
Inferiority	অধমতা
Adhmarna	অধমর্ণ
Lips	অধর
Lip-image	অধর-বিম্ব
Lipstick	অধরপান
Lipstick	অধরবিম্ব
Adharamdhu	অধরামধু
Immortal	অধরামৃত
Lipstick	অধরোষ্ঠ
Iniquity	অধর্ম
Unrighteous deeds	অধর্ম কর্ম
Subordinate employee	অধস্তন কর্মচারী
Subordinate terms	অধস্তন পদ
Non-metallic	অধাতু
Unrighteousness	অধার্মিকতা
The super-god	অধি দেবতা
Over-day	অধি-দিন
Super-day	অধি-দিবস
More	অধিক
More angles	অধিক কোণ
More counts	অধিক গণনা
More rain clouds	অধিক জলবর্ষণকারী মেঘ
More days	অধিক দিন
More share	অধিক ভাগ
Over-limb	অধিক-অঙ্গ
Right angle	অধিককোণ
Tribunal	অধিকরণ
Occupancy factor	অধিকরণ কারক
Tribunal	অধিকরণ-শুল্ক
Occupationalism	অধিকরণবাদ
Excise duty	অধিকরণশুল্ক
The boss	অধিকর্তা
Overwork	অধিকর্ম
Overwork	অধিকর্মা
Most	অধিকাংশ
Adhikang	অধিকাঙ্গ
Rights	অধিকার
Right field	অধিকার ক্ষেত্র
Granting rights	অধিকার প্রদান
Charter	অধিকার-পত্র
Charter	অধিকারপত্র
Unauthorized	অধিকাররহিত
Disenfranchisement	অধিকারহীনতা
Entitled	অধিকারী
The object of rights	অধিকারের বস্তু
Occupancy	অধিকৃতি
Excess	অধিক্রম
Invasion	অধিক্রমণ
Access	অধিগম
Acquirer	অধিগ্রহণকারী
Acquisition	অধিগ্রহন
Excess	অধিত্যকা
The day	অধিদিন
Doomsday	অধিদিবস
Goddess	অধিদেবী
Subordinate stars	অধিনব তারা
Subordinate employee	অধিনস্থ কর্মচারি
Captain	অধিনায়ক
Captaincy	অধিনায়কত্ব
Captain	অধিনায়িকা
Act	অধিনিয়ম
Lord	অধিপতি
Adhipatra	অধিপত্র
Advocate	অধিবক্তা
Leap year	অধিবর্ষ
Adjectives	অধিবাচক শব্দ
Prefix	অধিবাচি
Domicile	অধিবাস
Resident	অধিবাসী
Resident farmer	অধিবাসীকৃষক
Adhibinna	অধিবিন্না
Superintendent	অধিবেত্তা
Submission	অধিবেদন
Session	অধিবেশন
Overload	অধিভার
Overlord	অধিভূ
Adhimat	অধিমত
Adhimantha	অধিমন্থ
Flesh	অধিমাংস
Adhimas	অধিমাস
Superintendent	অধিযজ্ঞ
Adhirath	অধিরথ
Dominion	অধিরাজ্য
Adhirohini	অধিরোহিণী
Surcharge	অধিশুল্ক
Occupancy	অধিশ্রয়ণ
Incumbent	অধিষ্ঠাতা
Residence	অধিষ্ঠান
Notification	অধিসূচনা
Installation	অধিস্থাপন
Superintendent	অধীক্ষক
Subordinate	অধীণস্থ
Under the king	অধীন নৃপতি
Subordination	অধীনতা
Subordination	অধীনত্ব
The act of subordinating	অধীনস্থ করার ক্রিয়া
Anxiety	অধীরতা
Overlord	অধীশ
Lord	অধীশ্বর
Decline	অধোগতি
Decline	অধোগমন
The lower knee	অধোজানু
Myopia	অধোদৃষ্টি
Downhill	অধোদেশ
Lingerie	অধোবস্ত্র
Subjunctive words	অধোবাচক শব্দ
Adhobachi	অধোবাচি
The bottom point	অধোবিন্দু
The lower part	অধোভাগ
Subsystem	অধোযন্ত্র
Adhvar	অধ্বর
Adhvaryu	অধ্বর্যু
Principal	অধ্যক্ষ
Presidency	অধ্যক্ষতা
Ordinance	অধ্যদেশ
Perseverance	অধ্যবসায়
Adhyarthana	অধ্যর্থন
Spirituality	অধ্যাত্মা
Spiritual Upanishads	অধ্যাত্মা উপনিষদ
Ordinance	অধ্যাদেশ
Professor	অধ্যাপক
Teaching	অধ্যাপন
Teaching	অধ্যাপনা
Teaching	অধ্যাপনাকার্য
Professor	অধ্যাপিকা
Study	অধ্যাসন
Chapter	অধ্যায়
Study	অধ্যয়ণ
Studyability	অধ্যয়ণশীলতা
Study	অধ্যয়ন
Study room	অধ্যয়ন কক্ষ
Study-room	অধ্যয়ন-কক্ষ
Study room	অধ্যয়নকক্ষ
Studious	অধ্যয়নশীল
Study break	অধ্যয়নাবকাশ
Unwansi	অনওয়াঁসী
Unexpected	অনওয়াকাশিত
Nudity	অনগ্নতা
Fire	অনগ্নি
Backwardness	অনগ্রসরতা
Ananga Deb	অনঙ্গ দেব
Limb-sports	অনঙ্গ-ক্রীড়া
Anangashekhar	অনঙ্গশেখর
Infinity	অনতঃসত্ত্বা
Exceeding	অনতিক্রম
Transcendence	অনতিক্রমণ
The latest	অনদ্যতন
The future	অনদ্যতন-ভবিষ্যত
The latest ghost	অনদ্যতন-ভূত
Unauthorized	অনধিকার
Indifference	অনধ্যবসায়
Andhya	অনধ্যায়
Uneducated	অনধ্যয়ন
Unauthorized	অননুজ্ঞা
Unspoken	অননুভাষণ
Unauthorized	অননুমতি
Unattached	অননুরক্ত
Infinity	অনন্ত
Ananta Chaturdashi	অনন্ত চতুর্দশী
Eternal vows	অনন্ত ব্রত
Infinity	অনন্তকায়
Infinite knowledge	অনন্তজ্ঞান
Infinity Tank	অনন্তটঙ্ক
Infinity	অনন্ততা
Eternal vision	অনন্তদর্শন
Infinity vision	অনন্তদৃষ্টি
Eternal God	অনন্তদেব
Anantnag	অনন্তনাগ
Anantnag district	অনন্তনাগ জেলা
Anantnag city	অনন্তনাগ শহর
Anantnath	অনন্তনাথ
Anantapur	অনন্তপুর
Anantapur district	অনন্তপুর জেলা
Anantapur city	অনন্তপুর শহর
Eternal victory	অনন্তবিজয়
Infinity	অনন্তবীর্য
Infinite root	অনন্তমূল
Infinite power	অনন্তশক্তি
Infinity	অনন্তশীর্ষা
Infinite	অনন্তানুবন্ধী
Incomplete goddess	অনন্পূর্ণ দেবী
Annapurna	অনন্পূর্ণা
Inconsistency	অনন্বয়
Uniqueness	অনন্যতা
Unique	অনন্যপূর্বা
Innocent	অনপকার
Unable	অনপায়া
No time	অনবকাশ
Infallible	অনবদ্যা
Continuity	অনবরততা
Reliance	অনবলম্বন
Retirement	অনবসর
Impotence	অনবস্থা
Unwilling	অনবাকাঙ্ক্ষমান
Unwilling	অনবাকাঙ্খা
Inexperience	অনভিজ্ঞতা
Unwillingness	অনভিলাষ
Unaccustomed	অনভ্যাস
Anaranya	অনরণ্য
Anarsa	অনরসা
Anarkachaturdashi	অনর্কচতুর্দশী
Wrong	অনর্থ
Onal	অনল
Analprabha	অনলপ্রভা
Onla	অনলা
Fasting	অনশন
The hunger strike	অনশন আন্দোলন
Unsuya	অনসূয়
Unsuya	অনসূয়া
Anakantha	অনাকাঙ্থা
Non-aggression	অনাক্রমণ
Anakranta	অনাক্রান্তা
The future	অনাগত
Arrival	অনাগমন
Unharmed	অনাঘাত
Ananksha	অনাঙ্ক্ষা
Lawlessness	অনাচার
Immorality	অনাচারিতা
Uncovered	অনাচ্ছাদন
Uncovered space	অনাচ্ছাদিত স্থান
Clumsiness	অনাড়ম্বরতা
Clumsy	অনাড়ি
Anatmakadukha	অনাত্মকদুঃখ
Unrelated	অনাত্মীয়
Unrelated	অনাত্ম্য
Orphans	অনাথ
Orphanage	অনাথ আশ্রম
Orphanage	অনাথালয়
Orphanage	অনাথাশ্রম
Disrespectful ornaments	অনাদর অলঙ্কার
Inattention	অনাধৃষ্টি
No Objection Certificate	অনাপত্তি প্রমাণপত্র
Cover	অনাবরণ
Uninterrupted	অনাবর্ত
Redundancy	অনাবশ্যকতা
Drought	অনাবৃষ্টি
Applicant	অনাবেদক
Unwillingness	অনাভিলাষিতা
Anamika	অনামিকা
Honorium	অনারেরিয়াম
Moisture	অনার্দ্রতা
Anarya	অনার্য
Anarya race	অনার্য জাতি
Anarchy	অনার্যতা
Non-vertical	অনালম্বী
Non-attachment	অনাসক্তি
Distrust	অনাস্থা
Motion of no confidence	অনাস্থা প্রস্তাব
Injured cycle	অনাহত চক্র
Injury	অনাহতবাদ
Starvation	অনাহার
Starvation	অনাহারমার্গনা
Starving	অনাহারী
Anayusha	অনায়ুষা
Apathy	অনিঃস্পৃহতা
Reluctance	অনিচ্ছা
Impermanence	অনিত্যতা
Insomnia	অনিদ্রা
Insomnia	অনিদ্রা রোগ
Anini	অনিনি
The city of Anini	অনিনি শহর
Imperfection	অনিপূণতা
Inevitability	অনিবার্যতা
Anibritti-badar	অনিবৃত্তি-বাদর
Animishacharya	অনিমিষাচার্য
