 Seats set in a special place: "The seat of this bus is rolling.	 କୌଣସି ବିଶେଷ ସ୍ଥାନଆଦିରେ ବସିବାପାଇଁ ଲଗାଯାଇଥିବା ଆସନ:"ଏହି ବସ୍‌ର ସିଟ୍‌ ଗଦିବାଲା
"Season	"ଋତୁ
"Rural education	"ଗ୍ରାମୀଣ ଶିକ୍ଷା
"It simply came to our notice then.	"ଣ୍ୟ-ସରୋବର.
"The palm leaves	"ତାଳୀଶପତ୍ର
"It simply came to our notice then	"ଦିତି
"St. George	"ସେଣ୍ଟ୍ ଜର୍ଜ୍
.The bearer of the beast	.ଧାରକ ପଶୁ
00	00
000	000
1	1
100	100
10000000	10000000
34	34
35	35
36	36
38	38
39	39
53	53
60	60
69	69
70	70
75	75
79	79
80	80
90	90
95	95
S	S
The portion or palm of the hand between the forefinger and the thumb line	The portion or the palm of hand between the forefinger  and the thumb ରେଖ
s	s
A	ଅ
Horses	ଅଁଘଡା
Ala	ଅଁଳା
Ank	ଅଂକ
Numerator	ଅଂକପତ୍ରକ
Ankari	ଅଂକରୀ
Ankari grass	ଅଂକରୀ ଘାସ
Figure collector	ଅଂକୀୟ ସଂଗଣକ
Amputee	ଅଂଗଛେଦକ
Limb	ଅଂଗଦ
Will give birth	ଅଂଗଦ ଦେବ
Limb	ଅଂଗନ୍ୟାସ
Limb	ଅଂଗବାଚୀ
Limb	ଅଂଗବିକାର
Organ transplant	ଅଂଗବିକୃତି
Organism	ଅଂଗମାରୀ
Angstram	ଅଂଗଷ୍ଟ୍ରାମ
Organ transplantation	ଅଂଗସଞ୍ଚାଳନ
Insensitivity	ଅଂଗହୀନତା
Charcoal	ଅଂଗାରକ
Angira	ଅଂଗିରା
Angirabrutta	ଅଂଗିରାବୃତ
Limbs	ଅଂଗୀ
Commitment	ଅଂଗୀକାର
Obedient	ଅଂଗୀବାଚୀ
Angola residents	ଅଂଗୋଲାବାସୀ
Angda	ଅଂଘଡା
Fingers	ଅଂଘୋଟି
Area	ଅଂଚଳ
Anjan grass	ଅଂଜନ ଘାସ
Anjana	ଅଂଜନା
Anja	ଅଂଜା
Anja district	ଅଂଜା ଜିଲ୍ଲା
Fig	ଅଂଜିର
Eggplant	ଅଂଡଗ୍ରଂଥି
Intestinal	ଅଂତଃକୋଷ
Interaction	ଅଂତଃକ୍ରିୟା
Intestinal glands	ଅଂତଃସ୍ରାବୀ ଗ୍ରଂଥି
Intestinal glands	ଅଂତଃସ୍ରାବୀ ଗ୍ରନ୍ଥି
Intermittent	ଅଂତବିଦାରଣ
International Labor Organization	ଅଂତରରାଷ୍ଟୀୟ ଶ୍ରମ ସଂଗଠନ
Antara	ଅଂତରା
International Energy Agency	ଅଂତରାଷ୍ଟ୍ରୀୟ ଶକ୍ତି ଏଜେନ୍ସୀ
Intermediate center	ଅଂତରୀକ୍ଷ କେଂଦ୍ର
Intermediate	ଅଂତରୀକ୍ଷଯାନ
Intermediate	ଅଂତରୀପ
Intercourse	ଅଂତର୍ଗ୍ରହଣ
Disappearance	ଅଂତର୍ଦ୍ଧାନ
Antarveda	ଅଂତର୍ବେଦ
Intermediate	ଅଂତର୍ବେଦୀ
Antakshari	ଅଂତାକ୍ଷରୀ
Intermediate game	ଅଂତାକ୍ଷରୀ ଖେଳ
Inhabitants	ଅଂତେବାସୀ
Antyaj	ଅଂତ୍ୟଜ
Extremely large	ଅଂତ୍ୟବିପୁଳା
End	ଅଂତ୍ୟା
Antyaksari	ଅଂତ୍ୟାକ୍ଷରୀ
In the end	ଅଂତ୍ୟାନୁପ୍ରାସର
Andua	ଅଂଦୁଆ
Blind	ଅଂଧ
Blind	ଅଂଧକ
Dark Moon	ଅଂଧକ ମୁନି
The dark rage	ଅଂଧକାରୀ ରାଗିଣୀ
Half a dozen	ଅଂଧା ବଗୁଲା
Darkness	ଅଂଧାରକଣା
Andhika	ଅଂଧିକା
Amber	ଅଂବର
Amber	ଅଂବରଅତର
Anbarish	ଅଂବରୀଷ
Or	ଅଂବା
Ambabai	ଅଂବାବାଈ
Ambala	ଅଂବାଲା
Ambala district	ଅଂବାଲା ଜିଲ୍ଲା
The girl	ଅଂବାଳିକା
Ambasa	ଅଂବାସା
The city of Ambasa	ଅଂବାସା ସହର
Ambahaldi	ଅଂବାହଳଦୀ
Ambika	ଅଂବିକା
Ambikapur	ଅଂବିକାପୁର
Anbu	ଅଂବୁ
Ambuj	ଅଂବୁଜ
Anbuja is angry	ଅଂବୁଜା ରାଗିଣୀ
Part	ଅଂଶ
Allocation of shares	ଅଂଶ ଆବଣ୍ଟନ
Partitioning	ଅଂଶ ବିଭାଜନ
Participation	ଅଂଶଦାନ
Plates	ଅଂଶଫଳକ
Partner	ଅଂଶୀଦାର
Anshu	ଅଂଶୁ
Anshuman	ଅଂଶୁମନ
Anshuman	ଅଂଶୁମାନ
Anshuman	ଅଂଶୁମାନ୍
Eggs	ଅଂଡ଼ା
Aulla	ଅଅଁଳା
Awkward	ଅଇଁଠା
Intestinal	ଅଇଣ୍ଠାଖିଆ
Mirror	ଅଇନା
Aum	ଅଉମ
Aintment	ଅଏଣ୍ଟମେଣ୍ଟ
Oil Cloth	ଅଏଲ୍ କ୍ଲଥ
Trembling	ଅକଂପନ
Octavian	ଅକଟ୍ରାଇଘର
Seriously	ଅକପଟ
Akpati	ଅକପଟୀ
Akbari	ଅକବରୀ
Vibration	ଅକମ୍ପନ
Akarkara	ଅକରକରା
Accordion	ଅକର୍ଡିୟନ
Inaction	ଅକର୍ମ
Inactive action	ଅକର୍ମକ କ୍ରିୟା
Incompetent	ଅକର୍ମଣ୍ୟ
Incompetent person	ଅକର୍ମଣ୍ୟ ବ୍ୟକ୍ତି
Incompetence	ଅକର୍ମଣ୍ୟତା
Akarma	ଅକର୍ମା
Toothless teeth	ଅକଲ ଦାନ୍ତ
Disability	ଅକଲ୍ୟାଣ
Immortality	ଅକଳାତ୍ମକତା
Akash	ଅକଶ
Oxide4	ଅକସାଇଡ଼୍‌
Academy	ଅକାଦେମୀ
Academic member	ଅକାଦେମୀ ସଦସ୍ୟ
Nonsense	ଅକାମ କର୍ମ
Size	ଅକାର
Unreasonable	ଅକାରଣ
Inactive	ଅକାର୍ଯ୍ୟ
Premature	ଅକାଳ
Premature death	ଅକାଳ ମୃତ୍ୟୁ
Premature	ଅକାଳୀ
Learn early	ଅକାଳୀ ଶିଖ୍‌
Akirti	ଅକିର୍ତ୍ତୀ
Reluctance	ଅକୁଟିଳତା
Anxious	ଅକୁଳୀନ
Anxious person	ଅକୁଳୀନ ବ୍ୟକ୍ତି
The uncircumcised priest	ଅକୁଳୀନ ଯାଜକ
Infertility	ଅକୁଶଳତା
Unskilled playwright	ଅକୁଶଳୀ ନାଟ୍ୟକାର
Ungrateful	ଅକୃତଜ୍ଞତା
Intimacy	ଅକୃତିମତା
Incompetent	ଅକୃପ
Akol	ଅକୋଲ
Akola	ଅକୋଲା
Akola district	ଅକୋଲା ଜିଲ୍ଲା
The city of Akola	ଅକୋଲା ସହର
Akkad Bakkad	ଅକ୍କଡ ବକ୍କଡ
Akkalkot	ଅକ୍କଲକୋଟ
Akkalbar	ଅକ୍କଲବାର
Oak tree	ଅକ୍କଲବାର ଗଛ
Octopus	ଅକ୍ଟୋପସ୍‌
October	ଅକ୍ଟୋବର
October	ଅକ୍ଟ୍ରାଇ
Occupation	ଅକ୍ତିଆର
Akrur	ଅକ୍ରୂର
Axis	ଅକ୍ଷ
Aksha garland	ଅକ୍ଷ ମାଳା
Axillary	ଅକ୍ଷକାସ୍ଥି
Intact	ଅକ୍ଷତ
Unbroken invitation	ଅକ୍ଷତ ନିମନ୍ତ୍ରଣ
Disability	ଅକ୍ଷମତା
Forgiveness Upanishads	ଅକ୍ଷମାଳିକ ଉପନିଷଦ
Akshamalikopanisad	ଅକ୍ଷମାଳିକୋପନିଷଦ
Character	ଅକ୍ଷର
Fonts	ଅକ୍ଷର ତୁଳିକା
Character change	ଅକ୍ଷର ପରିବର୍ତ୍ତନ
Character layout	ଅକ୍ଷର ବିନ୍ୟାସ
Font style	ଅକ୍ଷର ଶୈଳୀ
Alphabet	ଅକ୍ଷରନ୍ୟାସ
Character	ଅକ୍ଷରପଂକ୍ତି
Alphabet	ଅକ୍ଷରମାଳା
Character	ଅକ୍ଷରେଖା
Akshasutra	ଅକ୍ଷସୂତ୍ର
Latitude	ଅକ୍ଷାଂଶ
Latitude line	ଅକ୍ଷାଂଶ ରେଖା
Akshi Upanishad	ଅକ୍ଷି ଉପନିଷଦ
Axial third	ଅକ୍ଷି ତୃତୀୟା
Akshiponisad	ଅକ୍ଷିପୋନିଷଦ
Akshov	ଅକ୍ଷୋଭ
Akshahini	ଅକ୍ଷୌହିଣୀ
Indestructible	ଅକ୍ଷୟ
Akshay III	ଅକ୍ଷୟ ତୃତୀୟା
Akshay Ninth	ଅକ୍ଷୟ ନବମୀ
Akshay Kumar	ଅକ୍ଷୟକୁମାର
Immortality	ଅକ୍ଷୟତ୍ୱ
Akshayabat	ଅକ୍ଷୟବଟ
Oxford	ଅକ୍ସଫୋର୍ଡ
Oxford University	ଅକ୍ସଫୋର୍ଡ ବିଶ୍ବବିଦ୍ୟାଳୟ
Oxide	ଅକ୍ସାଇଡ଼
Oxygen atom	ଅକ୍ସିଜେନ ପରମାଣୁ
Oxygen	ଅକ୍‌ସିଜେନ୍‌
Akh	ଅଖ
Integrity	ଅଖଣ୍ଡତା
Akhara	ଅଖରା
Walnuts	ଅଖରୋଟ
Bamboo	ଅଖା
Inedible	ଅଖାଦ୍ୟ
Inedible	ଅଖାଦ୍ୟ ପଦାର୍ଥ
Inedible	ଅଖାଦ୍ୟ ବସ୍ତୁ
The whole world	ଅଖିଳ ବିଶ୍ୱ
All India Football Association	ଅଖିଳ ଭାରତୀୟ ଫୁଟବଲ ସଙ୍ଘ
Infamous	ଅଖ୍ୟାତି
Akhtabar	ଅଖ୍‌ତାବର
Akhtabar's horse	ଅଖ୍‌ତାବର ଘୋଡ଼ା
Integrity	ଅଖଡ଼ତା
Integrity	ଅଖଡ଼ପଣ
Ag	ଅଗ
Front joint (?)	ଅଗ ଗଣ୍ଠି(?)
Innumerable	ଅଗଣତା
Yard	ଅଗଣା
Democracy	ଅଗଦତନ୍ତ୍ର
Agamala	ଅଗମଳା
Inaccessible forest	ଅଗମ୍ୟ ଜଙ୍ଗଲ
Agar	ଅଗର
Agartala	ଅଗରତଲା
Agartala city	ଅଗରତଲା ସହର
Agarbati	ଅଗରବତୀ
Agaria	ଅଗରିଆ
